fips,state,area_name,2013_urban_influence_code,percent_of_adults_with_a_high_school_diploma_only_1980,percent_of_adults_completing_some_college_or_associates_degree_2000,bachelors_degree_or_higher_2015_19,percent_of_adults_with_less_than_a_high_school_diploma_2015_19,percent_of_adults_with_a_high_school_diploma_only_2015_19,percent_of_adults_completing_some_college_or_associates_degree_2015_19,percent_of_adults_with_a_bachelors_degree_or_higher_2015_19
51197,VA,Wythe County,6.0,24.9,25.6,4027.0,13.80873680114746,37.8701286315918,29.303422927856445,19.017709732055664
51199,VA,York County,1.0,34.6,33.2,21501.0,5.338265419006348,18.93453598022461,28.66773223876953,47.05946731567383
51510,VA,Alexandria city,1.0,23.1,19.9,75483.0,6.980632305145264,11.604015350341797,18.318830490112305,63.09652328491211
51515,VA,Bedford city,2.0,29.4,23.3,22571.66199872693,13.0519074974054,34.15518504035921,30.818033400346792,21.974874063292404
51520,VA,Bristol city,2.0,25.5,26.1,3068.0,15.309499740600586,29.66732788085937,29.634227752685547,25.38894462585449
51530,VA,Buena Vista city,6.0,27.2,24.5,657.0,18.89400863647461,40.310455322265625,24.860538482666016,15.934998512268066
51540,VA,Charlottesville city,2.0,21.3,18.6,16679.0,8.871393203735352,16.5173282623291,19.666622161865234,54.94465637207031
51550,VA,Chesapeake city,1.0,34.1,32.7,53398.0,7.854472637176514,24.04031181335449,34.94740676879883,33.15781021118164
51560,VA,Clifton Forge city,5.2666242443525295,29.4,29.0,22571.66199872693,13.0519074974054,34.15518504035921,30.818033400346792,21.974874063292404
51570,VA,Colonial Heights city,1.0,34.6,30.3,3082.0,8.524888038635254,31.379196166992188,34.612205505371094,25.48371124267578
51580,VA,Covington city,6.0,32.5,25.2,621.0,12.675703048706056,44.427711486816406,27.309236526489254,15.58734893798828
51590,VA,Danville city,5.0,24.1,23.9,5019.0,18.239479064941406,31.545011520385746,32.62781524658203,17.587692260742188
51595,VA,Emporia city,4.0,16.4,15.5,486.0,20.59743881225586,33.76955795288086,31.806543350219727,13.826457977294922
51600,VA,Fairfax city,1.0,31.2,23.4,9802.0,5.985609531402588,13.44126033782959,19.77422142028809,60.79890823364258
51610,VA,Falls Church city,1.0,23.1,19.6,7430.0,1.1169102191925049,7.265135765075684,14.060543060302734,77.55741119384766
51620,VA,Franklin city,4.0,18.0,27.0,1099.0,13.693161964416504,29.104476928710938,38.12912368774414,19.07323837280273
