fips,2003_rural_urban_continuum_code,less_than_a_high_school_diploma_1970,percent_of_adults_with_less_than_a_high_school_diploma_1970
18173,2.0,6969.0,46.0
18175,1.0,6280.0,59.6
18177,5.0,21269.0,48.7
18179,2.0,5479.0,42.8
18181,6.0,5249.0,44.0
18183,2.0,5138.0,41.2
19001,8.0,2568.0,43.5
19003,9.0,1862.0,47.2
19005,6.0,4240.0,50.6
19007,7.0,4866.0,53.1
19009,8.0,3002.0,53.5
19011,3.0,5664.0,44.0
19013,3.0,25090.0,37.6
19015,6.0,6623.0,42.7
19017,3.0,5089.0,42.4
19019,6.0,4760.0,41.9
19021,7.0,4377.0,37.2
19023,8.0,4985.0,50.8
19025,9.0,3740.0,43.3
19027,7.0,6259.0,51.5
19029,6.0,4229.0,40.8
19031,6.0,4362.0,42.9
19033,5.0,10629.0,38.4
19035,6.0,3672.0,37.8
19037,6.0,4016.0,49.5
19039,6.0,2206.0,46.4
19041,7.0,3616.0,34.7
19043,8.0,6361.0,53.8
19045,4.0,12825.0,41.5
19047,6.0,4989.0,48.4
19049,2.0,5456.0,36.9
19051,9.0,2596.0,51.7
19053,9.0,2713.0,49.4
19055,6.0,4424.0,46.2
19057,5.0,10900.0,41.2
19059,7.0,2963.0,39.2
19061,3.0,19857.0,45.4
19063,7.0,3289.0,43.2
19065,6.0,6569.0,44.5
19067,7.0,4554.0,39.6
19069,7.0,3704.0,45.9
19071,8.0,2377.0,41.4
19073,6.0,3097.0,40.6
19075,3.0,3575.0,43.2
19077,2.0,3641.0,48.4
19079,6.0,4040.0,38.0
19081,7.0,3368.0,43.7
19083,6.0,5228.0,40.7
19085,2.0,4571.0,48.2
19087,7.0,4241.0,41.3
19089,7.0,3484.0,51.9
19091,7.0,2786.0,39.0
